IOU U-Net,IOU OpenCV,IOU OpenCV Denoised
0.99085,0.795761,0.86426
0.993478,0.799055,0.865006
0.991011,0.774074,0.82836
0.990923,0.805988,0.841299
0.979523,0.78331,0.84366
0.991678,0.758493,0.814968
0.99114,0.814611,0.851233
0.973252,0.778009,0.818529
0.990354,0.746268,0.775479
0.991913,0.798362,0.867187
0.981754,0.805102,0.857988
0.98964,0.793157,0.856607
0.962648,0.813283,0.862491
0.98887,0.80925,0.866219
0.989927,0.80053,0.865482
0.971063,0.785477,0.842069
0.9897,0.799582,0.865286
0.990656,0.807186,0.860372
0.992424,0.802362,0.867017
0.991673,0.79825,0.864031
0.990183,0.813276,0.871276
0.991323,0.801462,0.867319
0.992845,0.795139,0.86456
0.981532,0.80242,0.856335
0.982538,0.79757,0.855377
0.990399,0.812549,0.867203
0.988007,0.799303,0.8244
0.992192,0.775883,0.833208
0.98968,0.802125,0.863556
0.991008,0.772651,0.827433
0.989733,0.744632,0.783968
0.991041,0.798875,0.867925
0.991198,0.798506,0.863728
0.990659,0.799845,0.863331
0.992034,0.749902,0.804128
0.988456,0.779589,0.811343
0.9896,0.803176,0.868917
0.990203,0.800763,0.865659
0.992059,0.783644,0.831814
0.992789,0.815769,0.850602
0.992175,0.81212,0.8469
0.990965,0.801337,0.865413
0.990024,0.803354,0.869958
0.991404,0.79203,0.857387
0.980357,0.76222,0.782373
0.993553,0.799231,0.863674
0.977055,0.810425,0.862129
0.983287,0.792518,0.847996
0.981248,0.780512,0.838978
0.99078,0.801914,0.864571
0.991693,0.798671,0.864255
0.99241,0.797703,0.864933
0.990127,0.782333,0.829543
0.990504,0.795845,0.863049
0.990095,0.808879,0.876267
0.990317,0.80554,0.867788
0.991477,0.798877,0.864372
0.990071,0.810073,0.868162
0.989445,0.813937,0.867754
0.981875,0.781599,0.839711
0.964189,0.813103,0.86969
0.977111,0.80927,0.862074
0.976606,0.809904,0.862425
0.983427,0.744994,0.765453
0.986419,0.81684,0.872443
0.975978,0.784588,0.841437
0.96553,0.812452,0.868297
0.973024,0.781505,0.821531
0.992507,0.781746,0.827958
0.98945,0.799466,0.863206
0.990545,0.774483,0.831609
0.970791,0.779166,0.839531
0.98553,0.750368,0.774014
0.989759,0.773314,0.830321
0.988913,0.814541,0.843689
0.99102,0.803276,0.863574
0.989862,0.81383,0.867298
0.990831,0.802581,0.864937
0.991737,0.799605,0.864554
0.992658,0.806604,0.873128
0.993778,0.798837,0.864237
